 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
803,584,255,450.767,0.036,148920,148920,2.160,0.463,0.461
804,63,255,85.054,0.109,16065,16065,1.429,0.700,0.406
805,53,255,67.740,0.145,13515,13515,1.305,0.766,0.541
806,35,255,45.698,0.211,8925,8925,2.531,0.395,0.530
807,22,255,40.770,0.166,5610,5610,2.175,0.460,0.478
808,571,255,410.926,0.042,145605,145605,1.282,0.780,0.466
809,17,255,26.627,0.301,4335,4335,2.425,0.412,0.586
810,18,255,32.870,0.209,4590,4590,1.426,0.701,0.493
811,106,255,102.610,0.127,27030,27030,1.926,0.519,0.502
812,283,255,177.664,0.113,72165,72165,1.312,0.762,0.486
813,35,255,49.841,0.177,8925,8925,1.607,0.622,0.461
814,64,255,61.740,0.211,16320,16320,1.391,0.719,0.574
815,18,255,27.799,0.293,4590,4590,1.570,0.637,0.562
816,26,255,35.698,0.256,6630,6630,1.650,0.606,0.536
817,10,255,13.314,0.709,2550,2550,1.905,0.525,0.769
818,23,255,43.012,0.156,5865,5865,1.857,0.539,0.455
819,273,255,246.676,0.056,69615,69615,1.788,0.559,0.493
820,45,255,67.154,0.125,11475,11475,2.883,0.347,0.443
821,11,255,14.728,0.637,2805,2805,1.331,0.751,0.710
822,70,255,87.782,0.114,17850,17850,1.779,0.562,0.491
823,11,255,18.971,0.384,2805,2805,2.012,0.497,0.595
824,11,255,20.971,0.314,2805,2805,1.659,0.603,0.579
825,213,255,287.931,0.032,54315,54315,1.546,0.647,0.408
